id,cant_victimas,fecha,anio,mes,dia,hora,hora_int,dir,tipo_calle,calle,alt,cruce,dir_normalizada,comuna,point,longitud,latitude,victima,acusado
2017-0123,1,2017-10-10,2017,10,10,01:05:38,1,Albariño Y Av. Argentina,Avenida,ALBARI?O,0,Argentina Av.,Albariã‘O Y Argentina Av.,8,Point (99518.38660571 95241.63338177),-58.46855503,-34.67216349,Peaton,Auto
2017-0124,1,2017-10-12,2017,10,12,14:40:28,14,Juan Ramirez De Velazco 1211,Calle,"RAMIREZ DE VELASCO, JUAN",1211,Nan,"Ramirez De Velasco, Juan 1211",15,Point (101904.43474476 104150.89892205),-58.44254033,-34.59185043,Moto,Pasajeros
2017-0125,1,2017-10-13,2017,10,13,06:12:20,6,Av. Fernandez De La Cruz Y Larraya,Avenida,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,Larraya,"Fernandez De La Cruz, F., Gral. Av. Y Larraya",8,Point (99732.19478660 94453.36361177),-58.46622247,-34.67926929,Moto,Objeto Fijo
2017-0126,2,2017-10-14,2017,10,14,06:15:00,6,Av. Riestra Y Cañada De Gomez,Avenida,RIESTRA AV.,0,Ca?Ada De Gomez,Riestra Av. Y Caã‘Ada De Gomez,8,Point (98466.20276785 94207.42419155),-58.48003734,-34.68148508,Auto,Objeto Fijo
2017-0127,1,2017-10-16,2017,10,16,07:45:00,7,Gallo Y Av. Cordoba,Avenida,GALLO,0,Cordoba Av.,Gallo Y Cordoba Av.,2,Point (104713.04838502 103467.44528033),-58.41192137,-34.59800248,Moto,Moto
2017-0128,1,2017-10-17,2017,10,17,12:30:00,12,Dr. Juan F. Aranguren 611,Calle,"ARANGUREN, JUAN F., DR.",611,Nan,"Aranguren, Juan F., Dr. 611",6,Point (102105.12699179 101749.49668435),-58.44034689,-34.61349731,Peaton,Pasajeros
2017-0129,1,2017-10-26,2017,10,26,19:15:15,19,Au Perito Moreno Y Au 25 De Mayo,Autopista,AUTOPISTA PERITO MORENO,0,Autopista 25 De Mayo,Autopista Perito Moreno Y Autopista 25 De Mayo,9,Point (99243.41866587 97782.67879316),-58.47155277,-34.64925746,Moto,Pasajeros
2017-0130,1,2017-10-27,2017,10,27,05:30:00,5,Chorroarin Y Av. San Martin,Avenida,CHORROARIN,0,San Martin Av.,Chorroarin Y San Martin Av.,15,Point (98575.30034704 103283.44421792),-58.47883099,-34.59967065,Auto,Cargas
2017-0132,1,2017-10-30,2017,10,30,14:00:00,14,Cosquin Y Av. Cnel. Roca,Avenida,COSQUIN,0,"Roca, Cnel. Av.","Cosquin Y Roca, Cnel. Av.",8,Point (99796.45945783 92847.91633262),-58.46552171,-34.69374130,Moto,Pasajeros
2017-0134,1,2017-11-06,2017,11,6,18:00:00,18,Av. Cnel. Roca 3555,Avenida,"ROCA, CNEL. AV.",3555,Nan,"Roca, Cnel. Av. 3555",8,Point (101915.86954232 95727.75538814),-58.44239720,-34.66777987,Peaton,Pasajeros
2017-0135,1,2017-11-07,2017,11,7,12:14:10,12,Av. Warnes Y Punta Arenas,Avenida,WARNES AV.,0,Punta Arenas,Warnes Av. Y Punta Arenas,15,Point (99355.48397222 103660.98712619),-58.47032551,-34.59626814,Moto,Cargas
2017-0136,1,2017-11-16,2017,11,16,08:43:00,8,Del Barco Centenera Y Rabanal,Avenida,BARCO CENTENERA DEL,0,"Rabanal, Francisco, Intendente Av.","Barco Centenera Del Y Rabanal, Francisco, Intendente Av.",4,Point (104127.10295709 97119.53980201),-58.41827843,-34.65522746,Peaton,Pasajeros
